category,file,grid_size,dp_time,dp_comparisons,naive_time,naive_comparisons
animals,animals_1.txt,60x60,0.05668282508850098,284542,0.16111230850219727,100800
animals,animals_10.txt,60x60,0.04487776756286621,254844,0.16464805603027344,100800
animals,animals_100.txt,60x60,0.07801628112792969,342878,0.18040680885314941,100800
animals,animals_11.txt,60x60,0.07250618934631348,313895,0.17696809768676758,100800
animals,animals_12.txt,60x60,0.11515140533447266,463577,0.2422778606414795,100800
animals,animals_13.txt,60x60,0.07439661026000977,351483,0.25536084175109863,100800
animals,animals_14.txt,60x60,0.09455513954162598,335362,0.22429418563842773,100800
animals,animals_15.txt,60x60,0.0580143928527832,252065,0.14568376541137695,100800
animals,animals_16.txt,60x60,0.09401464462280273,403330,0.18712162971496582,100800
animals,animals_17.txt,60x60,0.10350632667541504,430987,0.1835155487060547,100800
animals,animals_18.txt,60x60,0.10566186904907227,391159,0.22440457344055176,100800
animals,animals_19.txt,60x60,0.1435105800628662,559947,0.2697336673736572,100800
animals,animals_2.txt,60x60,0.07077741622924805,336147,0.20723319053649902,100800
animals,animals_20.txt,60x60,0.14301347732543945,484451,0.23330211639404297,100800
animals,animals_21.txt,60x60,0.06551337242126465,379820,0.22605109214782715,100800
animals,animals_22.txt,60x60,0.07301855087280273,416224,0.1974961757659912,100800
animals,animals_23.txt,60x60,0.10737037658691406,454399,0.22418498992919922,100800
animals,animals_24.txt,60x60,0.05257010459899902,275151,0.14946246147155762,100800
animals,animals_25.txt,60x60,0.08450651168823242,372816,0.20787906646728516,100800
animals,animals_26.txt,60x60,0.08402299880981445,381902,0.18259716033935547,100800
animals,animals_27.txt,60x60,0.07551383972167969,452744,0.20487618446350098,100800
animals,animals_28.txt,60x60,0.06151223182678223,332793,0.20286798477172852,100800
animals,animals_29.txt,60x60,0.09722256660461426,454988,0.22757267951965332,100800
animals,animals_3.txt,60x60,0.07842874526977539,372177,0.1939539909362793,100800
